Tweets,Classification path,Level 1 label,Level 1 probability
James Harden w/20 points (5-5 3PT). Rockets on pace for 172 points and 36 made threes. #Nets,/Negative/,Negative,0.408
2017-11-28 01:36:27 RT @SandySMui: The #Nets and #Rockets attempted a total of 30 three-pointers in the first quarter.,/Neutral/,Neutral,0.544
BKN - 3/13 (23.1%),/Negative/,Negative,0.659
HOU - 9/17 (52.9%),/Negative/,Negative,0.493
2017-11-28 01:36:18 The #Nets and #Rockets attempted a total of 30 three-pointers in the first quarter.,/Neutral/,Neutral,0.592
BKN - 3/13 (23.1%),/Negative/,Negative,0.659
HOU - 9/17 (52.9%),/Negative/,Negative,0.493
"2017-11-28 01:36:15 #Nets trail 43-26 after one quarter. #Rockets already 9-for-17 from behind the arc, taking aim on #NBA record of 25.",/Positive/,Positive,0.441
2017-11-28 01:35:00 End of 1st Half,/Negative/,Negative,0.486
#Rockets 43 ,/Positive/,Positive,0.595
#Nets 26,/Negative/,Negative,0.494
"2017-11-28 01:34:17 #Nets, for the first time I could ever remember under Atkinson, came out in a zone there. Got to try something.",/Negative/,Negative,0.493
2017-11-28 01:34:13 Lets go #Nets get this W vs Houston.,/Negative/,Negative,0.501
2017-11-28 01:33:30 #WearBrooklynAt has so many cute wedding/honeymoon stories from #Nets fans,/Negative/,Negative,0.559
2017-11-28 01:32:13 #Nets fans after the #Rockets first quarter beat down #BKNvsHOU https://t.co/RgcyHqMZ5X,/Negative/,Negative,0.378
2017-11-28 01:30:38 Well obviously we knew this would happen just expected better defense #nets,/Negative/,Negative,0.552
2017-11-28 01:30:32 Hope Ryan Anderson goes off in Garbage time... #Rockets #Nets #Fanduel #Dfs,/Neutral/,Neutral,0.465
2017-11-28 01:27:49 #Nets should walk off the floor now to risk further embarrassment.,/Negative/,Negative,0.547
2017-11-28 01:23:50 Already down 11 this could be a longggg night #Nets,/Negative/,Negative,0.472
2017-11-28 01:20:31 #Harden is 4-4 from the field. #Rockets lead the #Nets 20-12,/Negative/,Negative,0.445
2017-11-28 01:20:17 Oh cool you guys got Harden and CP3?  Well we got Spencer Dinwiddie and our own 2019 1st round pick coming our way #Nets,/Negative/,Negative,0.512
2017-11-28 01:20:12 [Yahoo Sports] Grizzlies fire Fizdale amid losing streak https://t.co/OCeaNg1GBP #Nets,/Negative/,Negative,0.523
"2017-11-28 01:19:18 Just 5:34 into the game and the #Rockets have already launched eight 3-pointers. They'd hit four, and the #Nets trail 20-12.",/Positive/,Positive,0.628
2017-11-28 01:18:36 RT @TheProducerNick: Oh yeah....this is going to be a 3-pt shootout for sure. We are already at 14 attempts from long range. #Rockets #Nets,/Neutral/,Neutral,0.62
2017-11-28 01:18:15 Oh yeah....this is going to be a 3-pt shootout for sure. We are already at 14 attempts from long range. #Rockets #Nets,/Neutral/,Neutral,0.601
"2017-11-28 01:16:43 On 2nd thought, I'll check on the #Nets #Rockets game first. https://t.co/9pG36bT1ac",/Positive/,Positive,0.426
2017-11-28 01:14:04 RT @Brook_Lin_Com: How many 3s will be scored by #Nets + #Rockets tonight?,/Positive/,Positive,0.413
2017-11-28 01:06:24 How many 3s will be scored by #Nets + #Rockets tonight?,/Positive/,Positive,0.387
#BKNatHOU,/Neutral/,Neutral,0.706
#WinForLin,/Negative/,Negative,0.624
#WinForDLo,/Negative/,Negative,0.624
#WeGoHard,/Neutral/,Neutral,0.586
"2017-11-28 01:06:13 RT @NYPost_Lewis: Shorthanded #Nets go with Dinwiddie, LeVert, Harris, Booker, Zeller tonight in Houston. Frankly, they didn't have a lot oâ€_",/Negative/,Negative,0.608
2017-11-28 01:06:11 [NY Times] David Fizdale Is Fired by Memphis Grizzlies https://t.co/ayDsXLUYbc #Nets,/Negative/,Negative,0.5
2017-11-28 01:06:06 @BrooklynNets players out tonight vs the Rockets. @JLin7 @Dloading @IAmCHAP24 @DeMarreCarroll1 @allencrabbe. Againsâ€_ https://t.co/FX8nPGXsER,/Negative/,Negative,0.425
2017-11-28 01:02:19 Ugh do I even bother watching #Nets game tonite? Smh walking wounded.,/Negative/,Negative,0.479
2017-11-28 01:01:47 I just hope we can somehow look competitive in Houston #Nets,/Negative/,Negative,0.534
2017-11-28 01:01:44 Ready for some Brooklyn Basketball? Itâ€™s almost that time â_µï¸è  ,/Negative/,Negative,0.513
Brooklyn Nets vs Houston Rockets Live_Ÿ“º:â€_ https://t.co/zafMPuXlpM,/Neutral/,Neutral,0.677
2017-11-28 01:00:00 Game 20 of the season. #Nets visit the Rockets. #WeGoHard,/Negative/,Negative,0.427
2017-11-28 00:58:19 RT @AdamSpolane: #Rockets starters,/Positive/,Positive,0.474
Officialâ€_ https://t.co/wCdEVXhIpL,/Neutral/,Neutral,0.525
2017-11-28 00:47:47 RT @ClutchPointsApp: The #Nets have been the surprise of 2017-18 so far.,/Negative/,Negative,0.627
https://t.co/DQZ6qsAPSC,/Neutral/,Neutral,0.525
"2017-11-28 00:45:56 RT @NYPost_Lewis: Shorthanded #Nets go with Dinwiddie, LeVert, Harris, Booker, Zeller tonight in Houston. Frankly, they didn't have a lot oâ€_",/Negative/,Negative,0.608
"2017-11-28 00:44:17 Shorthanded #Nets go with Dinwiddie, LeVert, Harris, Booker, Zeller tonight in Houston. Frankly, they didn't have a lot of other ways to go.",/Negative/,Negative,0.578
2017-11-28 00:38:56 [SNY: SNY Nets] Nets take on Rockets in search of second straight road win https://t.co/I1r8B7gbnX #Nets,/Negative/,Negative,0.522
"2017-11-28 00:36:48 RT @NetsSource: #Nets starters at #Rockets:  Dinwiddie, LeVert, Harris, Booker, Zeller. #WeGoHard ",/Negative/,Negative,0.598
10th different starting lineup alreadyâ€_,/Neutral/,Neutral,0.443
2017-11-28 00:36:39 RT @APOOCH: DeMarre Carroll (upper respiratory) is out for tonightâ€™s game against Houston. #Nets,/Negative/,Negative,0.588
2017-11-28 00:35:00 #Nets confirmed starting lineup tonight per @BrooklynNets ,/Negative/,Negative,0.661
"2017-11-28 00:30:03 Game Thread: Brooklyn #Nets at Houston Rockets, 8:00 PM https://t.co/NwcdgZuh2a",/Negative/,Negative,0.453
2017-11-28 00:29:39 RT @APOOCH: #Nets starters at Rockets,/Negative/,Negative,0.649
"2017-11-28 00:27:44 Tonightâ€™s #Nets starters at Rockets:  Dinwiddie, LeVert, Harris, Booker, Zeller.",/Negative/,Negative,0.645
#BKNatHOU,/Neutral/,Neutral,0.706
#WinForLin,/Negative/,Negative,0.624
#WinForDLo,/Negative/,Negative,0.624
#WeGoHard,/Neutral/,Neutral,0.586
2017-11-28 00:23:38 DeMarre Carroll (upper respiratory) is out for the #Nets game tonight in Houston.,/Negative/,Negative,0.521
2017-11-28 00:19:00 #Nets update: ,/Negative/,Negative,0.547
DeMarre Carroll (upper respiratory) is out for tonightâ€™s game at Houston.,/Neutral/,Neutral,0.377
2017-11-28 00:18:59 RT @APOOCH: DeMarre Carroll (upper respiratory) is out for tonightâ€™s game against Houston. #Nets,/Negative/,Negative,0.533
2017-11-28 00:18:17 DeMarre Carroll (upper respiratory) is out for tonightâ€™s game against Houston. #Nets,/Negative/,Negative,0.537
"2017-11-28 00:11:02 Skimming through an issue of Popular Mechanics, and came across #Nets rookie @_bigjayy_!! Hereâ€™s a look at the piecâ€_ https://t.co/s62IFU7lHq",/Negative/,Negative,0.559
2017-11-28 00:08:28 RT @Brook_Lin_Com: New: How To Net The Win: Brooklyn Nets vs. Houston Rockets 11-27-17 - https://t.co/gHWjmaXV3B #Nets #WeGoHard,/Negative/,Negative,0.393
2017-11-28 00:07:57 RT @Brook_Lin_Com: New: Nets vs Grizzlies Notes and Observations: 11/26/17 -,/Negative/,Negative,0.489
https://t.co/S4ZmYAHWmT #Nets #WeGoHard,/Neutral/,Neutral,0.721
2017-11-28 00:05:59 RT @ArmchairNets: Timofey Mozgov has become a liability for the #Nets. What should they do with the guy?,/Negative/,Negative,0.665
https://t.co/p7RqjMMoRu,/Neutral/,Neutral,0.525
2017-11-28 00:00:00 Injuries can't stop the #Nets. #BrooklynGrit https://t.co/1PyWTvuMVB,/Negative/,Negative,0.485
2017-11-27 23:56:36 _Ÿè€ Proj Update â¬‡ï¸è_Ÿ”´,/Negative/,Negative,0.524
[GTD] DeMarre Carroll (SF) #Nets,/Negative/,Negative,0.468
"FD: $5700, 26.4 â†’ 0.0",/Neutral/,Neutral,0.58
#DFS,/Neutral/,Neutral,0.706
"2017-11-27 23:48:03 #Nets shorthanded tonight in Houston. DeMarre Carroll (upper respiratory) is questionable, with Allen Crabbe (soreâ€_ https://t.co/AwpZrcKY3l",/Negative/,Negative,0.541
2017-11-27 23:47:26 Top #NBA DraftKings plays of the night for your Monday Night.,/Negative/,Negative,0.42
Dennis Smith #Mavs,/Neutral/,Neutral,0.703
Bogdanovic #Pacers ,/Neutral/,Neutral,0.611
Omri Casspiâ€_ https://t.co/2Nt5Y8WdRb,/Neutral/,Neutral,0.525
2017-11-27 23:47:16 RT @ClutchPointsApp: The #Nets have been the surprise of 2017-18 so far.,/Negative/,Negative,0.627
https://t.co/DQZ6qsAPSC,/Neutral/,Neutral,0.525
2017-11-27 23:46:32 11/27_Ÿ”¥_Ÿè€#NBA Daily Recommended Lines  ,/Negative/,Negative,0.471
#Pacers -4.5,/Neutral/,Neutral,0.606
#Cavs +2.5,/Neutral/,Neutral,0.719
#Blazers -2,/Neutral/,Neutral,0.695
#Nets +18,/Negative/,Negative,0.494
#Spurs -9.5,/Neutral/,Neutral,0.545
DM us for subscriâ€_ https://t.co/TIW3OOMp7o,/Neutral/,Neutral,0.525
2017-11-27 23:45:13 RT @ClutchPointsApp: The #Nets have been the surprise of 2017-18 so far.,/Negative/,Negative,0.627
https://t.co/DQZ6qsAPSC,/Neutral/,Neutral,0.525
"2017-11-27 23:44:41 Fizdale treated Gasol with anger. He was angry because his former Heat ballclub missed the playoffs, which occurredâ€_ https://t.co/unPKTWDwhM",/Negative/,Negative,0.452
2017-11-27 23:43:53 [SB Nation: Nets Daily] Power Rankings - Grit is its own reward https://t.co/AhzSR7cz84 #Nets,/Negative/,Negative,0.535
2017-11-27 23:41:59 RT @ClutchPointsApp: The #Nets have been the surprise of 2017-18 so far.,/Negative/,Negative,0.627
https://t.co/DQZ6qsAPSC,/Neutral/,Neutral,0.525
2017-11-27 23:40:45 The #Nets have been the surprise of 2017-18 so far.,/Negative/,Negative,0.614
https://t.co/DQZ6qsAPSC,/Neutral/,Neutral,0.525
"2017-11-27 23:38:36 @RyanFieldABC @billritter7 @ABC7NY :Excuse me Mr.Fields.,no disrespect.,BUT next time ur invited to play with theâ€_ https://t.co/yXtDPcuWOn",/Negative/,Negative,0.537
2017-11-27 23:34:04 NBA G League Assignments/Recalls: 11/27/17 https://t.co/9YnxpVf3tH #nets #nba,/Negative/,Negative,0.406
2017-11-27 23:33:49 RT @SportsOpinion30: The #Nets were the straw that broke the camel's back for Fizdale. #Grizzlies fire him today. #CantLoseToTheNets,/Negative/,Negative,0.549
2017-11-27 23:32:28 Brooklyn nets trade for jahlil okafor #nets @BrooklynNets,/Negative/,Negative,0.588
2017-11-27 23:25:32 Lose to the #Nets and you gotta clean out your office. Iâ€™m insulted as a life long #Nets fan https://t.co/3BuDv40Kav,/Negative/,Negative,0.59
"2017-11-27 23:15:30 RT @NYPost_Lewis: #Nets shorthanded tonight in Houston. DeMarre Carroll (upper respiratory) is questionable, with Allen Crabbe (sore lowerâ€_",/Negative/,Negative,0.608
2017-11-27 23:12:17 #Rockets vs #Nets tonight. Coach Dâ€™Antoni will meet with the media soon. https://t.co/Tfguy9MbQ9,/Positive/,Positive,0.449
2017-11-27 23:07:48 #NBA  #rockets #nets game 3 pointers in match over 25.5  @SkyBet @WilliamHill,/Neutral/,Neutral,0.607
2017-11-27 23:07:18 #NBA #cavs #76ers #rockets #nets both games combined 3 pointers in match over 44.5 @SkyBet @WilliamHill,/Neutral/,Neutral,0.605
2017-11-27 23:06:24 hope the boys come out firing tonight! lets go #nets!,/Negative/,Negative,0.59
2017-11-27 23:06:04 SodaStream introduces sparkling wine mix https://t.co/c7VKEhuKOA #Nets #NBA https://t.co/1gVNbVQQpi,/Negative/,Negative,0.41
2017-11-27 23:05:36 RT @ArmchairNets: No @JLin7. No @Dloading. No @allencrabbe. No @IAmCHAP24. Maybe no @DeMarreCarroll1. ,/Negative/,Negative,0.523
That was supposed to be the #Nets vâ€_,/Neutral/,Neutral,0.474
2017-11-27 23:04:16 No @JLin7. No @Dloading. No @allencrabbe. No @IAmCHAP24. Maybe no @DeMarreCarroll1. ,/Negative/,Negative,0.459
That was supposed to be theâ€_ https://t.co/Z6eFdNtKa4,/Neutral/,Neutral,0.525
2017-11-27 23:01:56 And the #Nets are Fizdale slayers apparently,/Negative/,Negative,0.543
"2017-11-27 22:53:40 RT @ArmchairNets: Last night, the Brooklyn Nets defeated the Memphis Grizzlies, 98-88. The Grizzlies fell to 7-12 on the season. #Nets httpâ€_",/Negative/,Negative,0.545
2017-11-27 22:51:42 RT @ArmchairNets: Timofey Mozgov has become a liability for the #Nets. What should they do with the guy?,/Negative/,Negative,0.665
https://t.co/p7RqjMMoRu,/Neutral/,Neutral,0.525
"2017-11-27 22:49:53 Last night, the Brooklyn Nets defeated the Memphis Grizzlies, 98-88. The Grizzlies fell to 7-12 on the season. #Nets https://t.co/GSszDUQvFc",/Negative/,Negative,0.515
2017-11-27 22:47:36 RT @ArmchairNets: Timofey Mozgov has become a liability for the #Nets. What should they do with the guy?,/Negative/,Negative,0.689
https://t.co/p7RqjMMoRu,/Neutral/,Neutral,0.525
2017-11-27 22:33:34 RT @SportsOpinion30: The #Nets were the straw that broke the camel's back for Fizdale. #Grizzlies fire him today. #CantLoseToTheNets,/Negative/,Negative,0.591
2017-11-27 22:31:13 Timofey Mozgov has become a liability for the #Nets. What should they do with the guy?,/Negative/,Negative,0.661
https://t.co/p7RqjMMoRu,/Neutral/,Neutral,0.525
2017-11-27 22:26:37 RT @Brook_Lin_Com: New: How To Net The Win: Brooklyn Nets vs. Houston Rockets 11-27-17 - https://t.co/gHWjmaXV3B #Nets #WeGoHard,/Negative/,Negative,0.414
2017-11-27 22:26:25 RT @Brook_Lin_Com: New: Nets vs Grizzlies Notes and Observations: 11/26/17 -,/Negative/,Negative,0.489
https://t.co/S4ZmYAHWmT #Nets #WeGoHard,/Neutral/,Neutral,0.721
"2017-11-27 22:21:24 RT @NYPost_Lewis: #Nets shorthanded tonight in Houston. DeMarre Carroll (upper respiratory) is questionable, with Allen Crabbe (sore lowerâ€_",/Negative/,Negative,0.582
