Tweets,Classification path,Level 1 label,Level 1 probability
2017-12-02 15:02:53 There has to be a way to get #Alabama into the playoff. An #OhioState victory seems the only plausible route - even… https://t.co/42rQWORfWa,/neutral/,neutral,0.551
2017-12-02 14:58:50 RT @SloopCast: Emory Jones ends his HS career repping #OhioState. ,/neutral/,neutral,0.665
#GoBucks https://t.co/2PkxXT1NrG,/neutral/,neutral,0.708
2017-12-02 14:56:15 I've got #OhioState to take the W in this week's @Wendys #RivalryBeef. Who's got your vote? https://t.co/Yiy570sYZ8,/neutral/,neutral,0.639
2017-12-02 14:55:29 RT @SloopCast: Emory Jones ends his HS career repping #OhioState. ,/neutral/,neutral,0.665
#GoBucks https://t.co/2PkxXT1NrG,/neutral/,neutral,0.708
2017-12-02 14:52:23 WoooooHooooo. It's Game Day #OhioState vs #Wisconsin Go #Buckeyes,/neutral/,neutral,0.657
2017-12-02 14:49:50 #gobucks #buckeyenation #buckeyefootball #ohiostatefootball #ohiostate,/neutral/,neutral,0.603
Game keys,/neutral/,neutral,0.413
1. Gang tackle Taylor,/neutral/,neutral,0.523
2. First guy… https://t.co/geCXnvvP2E,/neutral/,neutral,0.634
2017-12-02 14:49:31 RT @HamiltonESPN: Teams with most recruiting momentum headed into December:,/neutral/,neutral,0.631
1. #UGA ,/neutral/,neutral,0.455
2. #OhioState ,/neutral/,neutral,0.472
3. #Sooners,/neutral/,neutral,0.48
4. #Clemson,/neutral/,neutral,0.5
5. #Canes ,/neutral/,neutral,0.477
On…,/neutral/,neutral,0.533
"2017-12-02 14:47:37 FWIW (which is very little) I'll take #Memphis, #Oklahoma, #Georgia, #OhioState, and #Clemson to win today.… https://t.co/Uv4mEaFNPH",/positive/,positive,0.45
2017-12-02 14:46:57 RT @theblockspot: #OhioState vs. #Wisconsin in the #BigTenChampionship will be incredible tomorrow. I will take the #Buckeyes in a phenomen…,/neutral/,neutral,0.719
2017-12-02 14:46:22 Who should #OhioState fans be rooting for on Championship Saturday? Here is your guide (FREE via @alexgleitman) ,/neutral/,neutral,0.687
https://t.co/kRDGnJZfZa,/neutral/,neutral,0.913
2017-12-02 14:42:35 Emory Jones ends his HS career repping #OhioState. ,/neutral/,neutral,0.539
#GoBucks https://t.co/2PkxXT1NrG,/neutral/,neutral,0.708
2017-12-02 14:42:29 #JTBarrett is already banged up and now he'll have to face the top defense in the nation tonight from #Wisconsin.… https://t.co/hm978I1sQr,/neutral/,neutral,0.586
2017-12-02 14:39:56 #Big12Championship OK lead TCU all time 12-5 5 game W streak,/neutral/,neutral,0.565
#SECChampionship Georgia leads Auburn 57-56 auburn is… https://t.co/Oeh1gTqoLT,/neutral/,neutral,0.591
2017-12-02 14:33:59 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.588
2017-12-02 14:33:03 RT @Bill_Kurelic: #OhioState QB offer @@matthewb_12 has decommitted from Colorado State  https://t.co/Pzln1FcC4o,/neutral/,neutral,0.692
2017-12-02 14:32:47 Hey @CollegeGameDay @chirs_spielman I am already in my seat for the game! Go BUCKS!  #OSUvsWIS #BigTenChampionship… https://t.co/D5RbhRtyde,/neutral/,neutral,0.573
"2017-12-02 14:30:11 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.574
"2017-12-02 14:29:53 @PlankShow If committee can currently rank a 2 loss #Auburn(cuz so say better resume) over a 1 loss #Oklahoma, shld… https://t.co/IAAt3hzO7l",/neutral/,neutral,0.562
2017-12-02 14:29:05 Let's bring home the championship.,/neutral/,neutral,0.678
#GoBucs #BigTen #BeatWisconsin #OhioState https://t.co/xp38RzkEjI,/neutral/,neutral,0.394
2017-12-02 14:28:56 We have so many sporting events on today. From college football conference championships to college basketball to N… https://t.co/UAuOvJsr2d,/neutral/,neutral,0.631
2017-12-02 14:28:50 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 14:25:41 Who should #OhioState fans be rooting for on #ChampionshipSaturday? Here is your guide https://t.co/PC5By63YNb (FRE… https://t.co/zsknUUpNpr,/neutral/,neutral,0.71
"2017-12-02 14:23:46 My winners; #UCF, #Oklahoma, #Georgia, #Clemson and #OhioState (and #Alabama). 😂",/neutral/,neutral,0.581
2017-12-02 14:22:09 Game Day! #beatwisconsin #b1gchampionship #ohiostate #gobuckeyes https://t.co/noh7nFnlGA,/neutral/,neutral,0.647
2017-12-02 14:21:56 @senrobportman Shame on You #2018isComing you’ve lied to #Ohio you don’t deserve to be in office #TaxReformBill… https://t.co/WSVKTx7hEs,/neutral/,neutral,0.472
2017-12-02 14:18:41 #OhioState cheer guide update https://t.co/HIpQ8BfYjF,/neutral/,neutral,0.702
2017-12-02 14:18:33 Big Ten Championship #OhioState Vs #Wisconsin,/neutral/,neutral,0.581
"2017-12-02 14:17:06 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.66
2017-12-02 14:14:56 Who wins today? #CFBPlayoff #OhioState #OhioStateBuckeyes #Wisconsin #WisconsinBadgers,/neutral/,neutral,0.557
2017-12-02 14:14:09 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 14:12:33 GO BUCKS!!!! follow @BrutusBlockeye as he cheers on the Buckeyes and travels the world! #gobucks #OhioState… https://t.co/eiTJxhQPxX,/neutral/,neutral,0.481
2017-12-02 14:09:50 @CollegeGameDay @NissanUSA #Iowa beat #OhioState and #IowaState.  Iowa State beat #Oklahoma and #TCU.  Wisconsin th… https://t.co/T2FnXzxtlH,/neutral/,neutral,0.572
"2017-12-02 14:08:41 Championship Saturday!! Every other thing in my life can wait, today is ALL ABOUT college football! ",/neutral/,neutral,0.518
🏈❤🌰❤🏈❤🌰❤🏈… https://t.co/lmOgQaD0HF,/positive/,positive,0.749
2017-12-02 14:07:27 It’s $8.95 candle day @bathbodyworks and #OhioState is playing for a championship. Basically today is the best day in my life. #GoBucks,/positive/,positive,0.474
2017-12-02 13:56:40 1944 - 10th #Heisman Trophy Award: Quarterback Les Horvath #OhioState #Buckeyes,/neutral/,neutral,0.627
2017-12-02 13:55:44 Win a battle win a buck! Win a NCAAF battle on SportsMe(https://t.co/ZDA9oWVYKe) and win a $1! #sportsme #battleme… https://t.co/KHa7LHXnvf,/positive/,positive,0.489
"2017-12-02 13:53:56 Not my kind of game day, but it's game day nonetheless. #godawgs #TheU #OhioState #TCU #ineedbamaintheplayoffs",/neutral/,neutral,0.412
"2017-12-02 13:50:37 @TheBuckeyeNut As a #Wisconsin fan; hope its not a replay of last #B1GChampionship, which it could be as @KidCuni /… https://t.co/pBNFZQMZAX",/neutral/,neutral,0.492
2017-12-02 13:49:19 I hate cheese! (Today only because cheese is actually delicious AF),/neutral/,neutral,0.442
#GoBucks #Big10 #OhioState https://t.co/xmC5HjAO2j,/neutral/,neutral,0.439
2017-12-02 13:44:19 If there is a will there is a way #OhioState will get into the college football playoffs,/neutral/,neutral,0.641
2017-12-02 13:42:57 Driving to Indy? Can't wait for Championship Saturday?  ,/neutral/,neutral,0.457
In-depth look at the B1G Championship. @AWardSports does… https://t.co/Ni3TWl9e6B,/neutral/,neutral,0.657
2017-12-02 13:42:08 College Football Teams Songs by Golden Boy (Fospassin) on Apple Music,/neutral/,neutral,0.603
https://t.co/YXFVd2gXC8 #NCAAF #SEC… https://t.co/mrB4Cy2NMR,/neutral/,neutral,0.822
2017-12-02 13:40:07 15 #HIPAA Breaches Reported/Under Investigation in NOV #HHS #OCR  | https://t.co/R176wi6zop |#Dentist #Physician… https://t.co/3aFYxA1gGr,/neutral/,neutral,0.734
2017-12-02 13:33:15 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.588
2017-12-02 13:31:49 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.588
2017-12-02 13:31:37 So ...  who's in?!?  🏈🏈🏈#collegefootball #football #CollegeFootballPlayoff #CollegeGameDay #Clemson #Miami #Georgia… https://t.co/yidJ2odWfi,/positive/,positive,0.429
2017-12-02 13:30:21 RT @HamiltonESPN: Teams with most recruiting momentum headed into December:,/neutral/,neutral,0.629
1. #UGA ,/neutral/,neutral,0.455
2. #OhioState ,/neutral/,neutral,0.472
3. #Sooners,/neutral/,neutral,0.48
4. #Clemson,/neutral/,neutral,0.5
5. #Canes ,/neutral/,neutral,0.477
On…,/neutral/,neutral,0.533
2017-12-02 13:28:07 #SaturdayThougths,/neutral/,neutral,0.671
SO psyched for the @UWBadgers football game against #OhioState tonight!!! 🍕🍺,/positive/,positive,0.36
#GoBadgers https://t.co/QORl9ha1Hc,/neutral/,neutral,0.708
2017-12-02 13:26:45 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 13:24:43 RT @TheRealNoel2: @LadyNoel2014 @jordanneparker May the football gods be ever in our favor! #TCU #GoDawgs #OhioState #Miami #HailSouthern,/neutral/,neutral,0.513
2017-12-02 13:23:24 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 13:22:41 RT @TheRealNoel2: @LadyNoel2014 @jordanneparker May the football gods be ever in our favor! #TCU #GoDawgs #OhioState #Miami #HailSouthern,/neutral/,neutral,0.513
2017-12-02 13:18:56 Big 10 championship #Wisconsin #ohiostate,/neutral/,neutral,0.653
2017-12-02 13:18:55 Almost everyone picking #Oklahoma #OhioState #Auburn #Clemson today. I think we'll see some upsets! #CFBPlayoff #collegefootball,/neutral/,neutral,0.519
2017-12-02 13:18:35 RT @TheRealNoel2: @LadyNoel2014 @jordanneparker May the football gods be ever in our favor! #TCU #GoDawgs #OhioState #Miami #HailSouthern,/positive/,positive,0.461
2017-12-02 13:18:24 @LadyNoel2014 @jordanneparker May the football gods be ever in our favor! #TCU #GoDawgs #OhioState #Miami #HailSouthern,/neutral/,neutral,0.478
2017-12-02 13:18:23 RT @Bill_Kurelic: I countdown from No. 20 to No. 1 the 2018 recruits least likely to most likely to finish off 2018 #OhioState recruiting c…,/neutral/,neutral,0.507
2017-12-02 13:16:50 I love game day but I hate having to wait all day for the Buckeyes to play at 8pm. #OhioState #BuckeyeNation #GoBucks #Buckeyes,/neutral/,neutral,0.421
2017-12-02 13:10:06 RT @Bill_Kurelic: I countdown from No. 20 to No. 1 the 2018 recruits least likely to most likely to finish off 2018 #OhioState recruiting c…,/neutral/,neutral,0.507
